,dt,blockchain,token_type,asset_id,address,usd_value,token_classification,l1_token,l2_token
96,2024-07-19,optimism,canonical,ape-apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,64.04,Immutable Factory Created,0x4d224452801aced8b2f0aebe155379bb5d594381,0x60e21183813719c7a78b403c3b0c5bdca6cedeb8
97,2024-07-19,optimism,canonical,arpa-arpa-token,0xba50933c268f567bdc86e1ac131be072c6b0b71a,4.34,Immutable Factory Created,0xba50933c268f567bdc86e1ac131be072c6b0b71a,0x334cc734866e97d8452ae6261d68fd9bc9bfa31e
99,2024-07-19,optimism,canonical,bal-balancer,0xba100000625a3754423978a60c9317c58a424e3d,421432.77,Immutable Factory Created,0xba100000625a3754423978a60c9317c58a424e3d,0xfe8b128ba8c78aabc59d4c64cee7ff28e9379921
100,2024-07-19,optimism,canonical,bico-biconomy-token,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,254843.82,Immutable Factory Created,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,0xd6909e9e702024eb93312b989ee46794c0fb1c9d
101,2024-07-19,optimism,canonical,ctsi-cartesi-token,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,333.74,Immutable Factory Created,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0xec6adef5e1006bb305bb1975333e8fc4071295bf
92,2024-07-19,optimism,canonical,1inch-1inch-token,0x111111111117dc0aa78b770fa6a738034120c302,1962.73,Immutable Factory Created,0x111111111117dc0aa78b770fa6a738034120c302,0xad42d013ac31486b73b6b059e748172994736426
64,2024-07-19,base,canonical,thales-thales-dao-token,0x8947da500eb47f82df21143d0c01a29862a8c3c5,1855543.87,Immutable Factory Created,0x8947da500eb47f82df21143d0c01a29862a8c3c5,0xf34e0cff046e154cafcae502c7541b9e5fd8c249
44,2024-07-19,base,canonical,pstake-pstake-finance,0xfb5c6815ca3ac72ce9f5006869ae67f18bf77006,131511.66,Immutable Factory Created,0xfb5c6815ca3ac72ce9f5006869ae67f18bf77006,0x38815a4455921667d673b4cb3d48f0383ee93400
45,2024-07-19,base,canonical,razor-razor,0x50de6856358cc35f3a9a57eaaa34bd4cb707d2cd,57792.88,Immutable Factory Created,0x50de6856358cc35f3a9a57eaaa34bd4cb707d2cd,0x6af3cb766d6cd37449bfd321d961a61b0515c1bc
48,2024-07-19,base,canonical,rsr-reserve-rights,0x320623b8e4ff03373931769a31fc52a4e78b5d70,1853452.28,Immutable Factory Created,0x320623b8e4ff03373931769a31fc52a4e78b5d70,0xab36452dbac151be02b16ca17d8919826072f64a
49,2024-07-19,base,canonical,reth-rocket-pool-eth,0xae78736cd615f374d3085123a210448e74fc6393,13733678.14,Immutable Factory Created,0xae78736cd615f374d3085123a210448e74fc6393,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c
52,2024-07-19,base,canonical,rpl-rocket-pool-protocol,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,11140.41,Immutable Factory Created,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,0xeaf495ec983e9ac93ad0c28e17b57791de193df5
55,2024-07-19,base,canonical,sdai-savings-dai,0x83f20f44975d03b1b09e64809b757c47f942beea,15017.1,Immutable Factory Created,0x83f20f44975d03b1b09e64809b757c47f942beea,0x99ac4484e8a1dbd6a185380b3a811913ac884d87
56,2024-07-19,base,canonical,silo-silo-governance-token,0x6f80310ca7f2c654691d1383149fa1a57d8ab1f8,127.31,Immutable Factory Created,0x6f80310ca7f2c654691d1383149fa1a57d8ab1f8,0xf734efde0c424ba2b547b186586de417b0954802
57,2024-07-19,base,canonical,sushi-sushitoken,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,30173.93,Immutable Factory Created,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x81ab7e0d570b01411fcc4afd3d50ec8c241cb74b
59,2024-07-19,base,canonical,snx-synthetix-network-token,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,2442903.77,Immutable Factory Created,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x22e6966b799c4d5b13be962e1d117b56327fda66
104,2024-07-19,optimism,canonical,chz-chiliz,0x3506424f91fd33084466f402d5d97f05f8e3b4af,55.15,Immutable Factory Created,0x3506424f91fd33084466f402d5d97f05f8e3b4af,0x23aa4268e0cbb0f1c83dca7c413b9f0c4a448a2b
95,2024-07-19,optimism,canonical,acx-across-protocol-token,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,1919376.87,Immutable Factory Created,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0xff733b2a3557a7ed6697007ab5d11b79fdd1b76b
0,2024-07-19,base,canonical,eth-ether,native,1792415912.78,Native ETH,,
11,2024-07-19,base,canonical,link-chainlink-token,0x514910771af9ca656af840dff83e8264ecf986ca,13.81,Unknown,,
47,2024-07-19,base,canonical,ezeth-renzo-restaked-eth,0xbf5495efe5db9ce00f80364c8b423567e58d2110,35.45,Unknown,,
73,2024-07-19,base,canonical,wsteth-wrapped-liquid-staked-ether-2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,98312574.06,Unknown,,
76,2024-07-19,base,external,base:rseth-kelpdao-restaked-eth,0x1bc71130a0e39942a7658878169764bbd8a45993,629498.68,Unknown,,
90,2024-07-19,optimism,canonical,eth-ether,native,1734402972.39,Native ETH,,
122,2024-07-19,optimism,canonical,frax-frax,0x853d955acef822db058eb8505911ed77f175b99e,3.46,Unknown,,
123,2024-07-19,optimism,canonical,fxs-frax-share,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,156.38,Unknown,,
144,2024-07-19,optimism,canonical,rgt-rari-governance-token,0xd291e7a03283640fdc51b121ac401383a46cc623,2.7800000000000002,Unknown,,
149,2024-07-19,optimism,canonical,snt-status-network-token,0x744d70fdbe2ba4cf95131626614a1763df805b9e,635.19,Unknown,,
151,2024-07-19,optimism,canonical,snx-synthetix-network-token,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,187554117.12,Unknown,,
166,2024-07-19,optimism,canonical,weth-wrapped-ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,189.66,Unknown,,
173,2024-07-19,optimism,canonical,yfi-yearn.finance,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,187.51,Unknown,,
177,2024-07-19,optimism,external,optimism:susde-staked-usde,0x211cc4dd073734da055fbf44a2b4667d5e5fe5d2,12601.99,Unknown,,
182,2024-07-19,optimism,native,optimism:fpi-frax-price-index,0xc5d43a94e26fca47a9b21cf547ae4aa0268670e1,279955.3,Unknown,,
183,2024-07-19,optimism,native,optimism:fpis-frax-price-index-share,0x8368dca5ce2a4db530c0f6e535d90b6826428dee,16192.52,Unknown,,
194,2024-07-19,optimism,native,op-optimism,0x4200000000000000000000000000000000000042,2091263504.25,Predeploy,,0x4200000000000000000000000000000000000042
